x	y	V_num	V_ana	error_abs	error_rel
1.01	0.02	0.9801	0.9801	2.22e-16	2.266e-16
1.02	0.02	1	1	4.441e-16	4.441e-16
1.03	0.02	1.02	1.02	4.441e-16	4.353e-16
1.04	0.02	1.04	1.04	4.441e-16	4.268e-16
1.05	0.02	1.061	1.061	8.882e-16	8.372e-16
1.06	0.02	1.082	1.082	1.332e-15	1.232e-15
1.07	0.02	1.102	1.103	8.882e-16	8.056e-16
1.08	0.02	1.124	1.124	8.882e-16	7.905e-16
1.09	0.02	1.145	1.145	6.661e-16	5.818e-16
1.1	0.02	1.166	1.166	8.882e-16	7.615e-16
1.11	0.02	1.188	1.188	6.661e-16	5.607e-16
1.12	0.02	1.21	1.21	6.661e-16	5.505e-16
1.13	0.02	1.232	1.232	4.441e-16	3.604e-16
1.14	0.02	1.254	1.254	6.661e-16	5.31e-16
1.15	0.02	1.277	1.277	4.441e-16	3.478e-16
1.16	0.02	1.3	1.3	1.11e-15	8.543e-16
1.17	0.02	1.322	1.322	1.11e-15	8.395e-16
1.18	0.02	1.346	1.346	1.332e-15	9.901e-16
1.19	0.02	1.369	1.369	1.11e-15	8.11e-16
1.2	0.02	1.392	1.392	1.554e-15	1.116e-15
1.21	0.02	1.416	1.416	1.554e-15	1.098e-15
1.22	0.02	1.44	1.44	1.554e-15	1.079e-15
1.23	0.02	1.464	1.464	1.554e-15	1.062e-15
1.24	0.02	1.488	1.488	1.332e-15	8.951e-16
1.25	0.02	1.513	1.513	1.554e-15	1.027e-15
1.26	0.02	1.538	1.538	1.998e-15	1.3e-15
1.27	0.02	1.562	1.562	2.22e-15	1.421e-15
1.28	0.02	1.588	1.588	2.22e-15	1.399e-15
1.29	0.02	1.613	1.613	1.998e-15	1.239e-15
1.3	0.02	1.638	1.638	2.22e-15	1.355e-15
1.31	0.02	1.664	1.664	2.665e-15	1.601e-15
1.32	0.02	1.69	1.69	2.887e-15	1.708e-15
1.33	0.02	1.716	1.716	2.887e-15	1.682e-15
1.34	0.02	1.742	1.742	2.887e-15	1.657e-15
1.35	0.02	1.769	1.769	2.887e-15	1.632e-15
1.36	0.02	1.796	1.796	2.665e-15	1.484e-15
1.37	0.02	1.822	1.823	3.331e-15	1.828e-15
1.38	0.02	1.85	1.85	3.109e-15	1.681e-15
1.39	0.02	1.877	1.877	3.331e-15	1.775e-15
1.4	0.02	1.904	1.904	2.887e-15	1.516e-15
1.41	0.02	1.932	1.932	3.331e-15	1.724e-15
1.42	0.02	1.96	1.96	3.109e-15	1.586e-15
1.43	0.02	1.988	1.988	3.553e-15	1.787e-15
1.44	0.02	2.016	2.016	3.553e-15	1.762e-15
1.45	0.02	2.045	2.045	3.553e-15	1.737e-15
1.46	0.02	2.074	2.074	3.997e-15	1.927e-15
1.47	0.02	2.102	2.103	4.441e-15	2.112e-15
1.48	0.02	2.132	2.132	3.997e-15	1.875e-15
1.49	0.02	2.161	2.161	3.553e-15	1.644e-15
1.5	0.02	2.19	2.19	3.997e-15	1.825e-15
1.51	0.02	2.22	2.22	3.553e-15	1.6e-15
1.52	0.02	2.25	2.25	3.553e-15	1.579e-15
1.53	0.02	2.28	2.28	3.997e-15	1.753e-15
1.54	0.02	2.31	2.31	3.553e-15	1.538e-15
1.55	0.02	2.341	2.341	3.553e-15	1.518e-15
1.56	0.02	2.372	2.372	4.441e-15	1.873e-15
1.57	0.02	2.402	2.403	4.885e-15	2.033e-15
1.58	0.02	2.434	2.434	5.329e-15	2.19e-15
1.59	0.02	2.465	2.465	4.885e-15	1.982e-15
1.6	0.02	2.496	2.496	6.217e-15	2.49e-15
1.61	0.02	2.528	2.528	4.885e-15	1.932e-15
1.62	0.02	2.56	2.56	5.329e-15	2.082e-15
1.63	0.02	2.592	2.592	3.997e-15	1.542e-15
1.64	0.02	2.624	2.624	3.997e-15	1.523e-15
1.65	0.02	2.657	2.657	3.553e-15	1.337e-15
1.66	0.02	2.69	2.69	4.441e-15	1.651e-15
1.67	0.02	2.722	2.722	3.997e-15	1.468e-15
1.68	0.02	2.756	2.756	4.441e-15	1.612e-15
1.69	0.02	2.789	2.789	4.441e-15	1.592e-15
1.7	0.02	2.822	2.822	5.329e-15	1.888e-15
1.71	0.02	2.856	2.856	4.441e-15	1.555e-15
1.72	0.02	2.89	2.89	4.441e-15	1.537e-15
1.73	0.02	2.924	2.924	3.997e-15	1.367e-15
1.74	0.02	2.958	2.958	3.553e-15	1.201e-15
1.75	0.02	2.993	2.993	3.997e-15	1.335e-15
1.76	0.02	3.028	3.028	3.553e-15	1.173e-15
1.77	0.02	3.062	3.062	3.553e-15	1.16e-15
1.78	0.02	3.098	3.098	3.553e-15	1.147e-15
1.79	0.02	3.133	3.133	3.553e-15	1.134e-15
1.8	0.02	3.168	3.168	3.553e-15	1.121e-15
