x	y	V_num	V_ana	error_abs	error_rel
1.1	0.2	0.81	0.81	3.331e-16	4.112e-16
1.2	0.2	1	1	2.22e-16	2.22e-16
1.3	0.2	1.21	1.21	2.22e-16	1.835e-16
1.4	0.2	1.44	1.44	0	0
1.5	0.2	1.69	1.69	4.441e-16	2.628e-16
1.6	0.2	1.96	1.96	4.441e-16	2.266e-16
1.7	0.2	2.25	2.25	8.882e-16	3.947e-16
1.8	0.2	2.56	2.56	8.882e-16	3.469e-16
1.9	0.2	2.89	2.89	0	0
1.1	0.4	0.49	0.49	2.22e-16	4.532e-16
1.2	0.4	0.64	0.64	1.11e-16	1.735e-16
1.3	0.4	0.81	0.81	3.331e-16	4.112e-16
1.4	0.4	1	1	0	0
1.5	0.4	1.21	1.21	4.441e-16	3.67e-16
1.6	0.4	1.44	1.44	4.441e-16	3.084e-16
1.7	0.4	1.69	1.69	8.882e-16	5.255e-16
1.8	0.4	1.96	1.96	2.22e-16	1.133e-16
1.9	0.4	2.25	2.25	0	0
1.1	0.6	0.25	0.25	1.665e-16	6.661e-16
1.2	0.6	0.36	0.36	5.551e-17	1.542e-16
1.3	0.6	0.49	0.49	1.665e-16	3.399e-16
1.4	0.6	0.64	0.64	0	0
1.5	0.6	0.81	0.81	3.331e-16	4.112e-16
1.6	0.6	1	1	4.441e-16	4.441e-16
1.7	0.6	1.21	1.21	4.441e-16	3.67e-16
1.8	0.6	1.44	1.44	4.441e-16	3.084e-16
1.9	0.6	1.69	1.69	0	0
1.1	0.8	0.09	0.09	1.388e-16	1.542e-15
1.2	0.8	0.16	0.16	1.11e-16	6.939e-16
1.3	0.8	0.25	0.25	2.22e-16	8.882e-16
1.4	0.8	0.36	0.36	1.665e-16	4.626e-16
1.5	0.8	0.49	0.49	2.22e-16	4.532e-16
1.6	0.8	0.64	0.64	4.441e-16	6.939e-16
1.7	0.8	0.81	0.81	5.551e-16	6.853e-16
1.8	0.8	1	1	3.331e-16	3.331e-16
1.9	0.8	1.21	1.21	0	0
1.1	1	0.01	0.01	6.418e-17	6.418e-15
1.2	1	0.04	0.04	6.245e-17	1.561e-15
1.3	1	0.09	0.09	1.11e-16	1.234e-15
1.4	1	0.16	0.16	2.776e-17	1.735e-16
1.5	1	0.25	0.25	1.11e-16	4.441e-16
1.6	1	0.36	0.36	2.22e-16	6.168e-16
1.7	1	0.49	0.49	2.776e-16	5.664e-16
1.8	1	0.64	0.64	0	0
1.9	1	0.81	0.81	2.22e-16	2.741e-16
1.1	1.2	0.01	0.01	1.214e-17	1.214e-15
1.2	1.2	-4.51e-17	4.93e-32	4.51e-17	9.148e+14
1.3	1.2	0.01	0.01	6.072e-17	6.072e-15
1.4	1.2	0.04	0.04	0	0
1.5	1.2	0.09	0.09	4.163e-17	4.626e-16
1.6	1.2	0.16	0.16	5.551e-17	3.469e-16
1.7	1.2	0.25	0.25	1.388e-16	5.551e-16
1.8	1.2	0.36	0.36	5.551e-17	1.542e-16
1.9	1.2	0.49	0.49	1.665e-16	3.399e-16
1.1	1.4	0.09	0.09	2.776e-17	3.084e-16
1.2	1.4	0.04	0.04	5.551e-17	1.388e-15
1.3	1.4	0.01	0.01	5.725e-17	5.725e-15
1.4	1.4	-7.112e-17	4.93e-32	7.112e-17	1.443e+15
1.5	1.4	0.01	0.01	7.286e-17	7.286e-15
1.6	1.4	0.04	0.04	8.327e-17	2.082e-15
1.7	1.4	0.09	0.09	1.665e-16	1.85e-15
1.8	1.4	0.16	0.16	5.551e-17	3.469e-16
1.9	1.4	0.25	0.25	8.327e-17	3.331e-16
1.1	1.6	0.25	0.25	0	0
1.2	1.6	0.16	0.16	1.11e-16	6.939e-16
1.3	1.6	0.09	0.09	4.163e-17	4.626e-16
1.4	1.6	0.04	0.04	1.18e-16	2.949e-15
1.5	1.6	0.01	0.01	7.806e-17	7.806e-15
1.6	1.6	-8.674e-17	0	8.674e-17	0
1.7	1.6	0.01	0.01	1.249e-16	1.249e-14
1.8	1.6	0.04	0.04	9.021e-17	2.255e-15
1.9	1.6	0.09	0.09	0	0
1.1	1.8	0.49	0.49	5.551e-17	1.133e-16
1.2	1.8	0.36	0.36	5.551e-17	1.542e-16
1.3	1.8	0.25	0.25	5.551e-17	2.22e-16
1.4	1.8	0.16	0.16	8.327e-17	5.204e-16
1.5	1.8	0.09	0.09	4.163e-17	4.626e-16
1.6	1.8	0.04	0.04	2.776e-17	6.939e-16
1.7	1.8	0.01	0.01	3.99e-17	3.99e-15
1.8	1.8	-6.072e-17	0	6.072e-17	0
1.9	1.8	0.01	0.01	1.735e-17	1.735e-15
